,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,Name,Sub-Sector,Market Cap,Close Price,PE Ratio,time_stamp
15,3861249,15083,ADANIPORTS,ADANI PORT & SEZ,0.0,,0.0,0.05,1,EQ,NSE,NSE,Adani Ports and Special Economic Zone Ltd,Ports,151294.3949,744.65,40.59224871,28643668319
16,4451329,17388,ADANIPOWER,ADANI POWER,0.0,,0.0,0.05,1,EQ,NSE,NSE,Adani Power Ltd,Power Generation,35792.39337,92.8,-15.73451091,28643668319
17,2615553,10217,ADANITRANS,ADANI TRANSMISSION,0.0,,0.0,0.05,1,EQ,NSE,NSE,Adani Transmission Ltd,Power Infrastructure,101721.4346,924.9,137.1241468,28643668319
18,5058817,19761,ADFFOODS,ADF FOODS,0.0,,0.0,0.05,1,EQ,NSE,NSE,ADF Foods Ltd,Packaged Foods & Meats,1892.046832,944.95,47.66665535,28643668319
19,4617985,18039,ADVENZYMES,ADVANCED ENZYME TECH,0.0,,0.0,0.05,1,EQ,NSE,NSE,Advanced Enzyme Technologies Ltd,Specialty Chemicals,4142.331357,370.75,32.02299354,28643668319
20,10241,40,AEGISCHEM,AEGIS LOGISTICS,0.0,,0.0,0.05,1,EQ,NSE,NSE,Aegis Logistics Ltd,Oil & Gas - Storage & Transportation,14412.7796,288.25,97.49516027,28643668319
21,2903809,11343,AFFLE,AFFLE (INDIA),0.0,,0.0,0.05,1,EQ,NSE,NSE,Affle (India) Ltd,Advertising,14123.20257,5238.35,199.0152501,28643668319
22,879361,3435,AGCNET,AGC NETWORKS,0.0,,0.0,0.05,1,EQ,NSE,NSE,AGC Networks Ltd,IT Services & Consulting,5014.807077,1464.6,105.9186788,28643668319
23,4565249,17833,AHLUCONT,AHLUWALIA CONT IND,0.0,,0.0,0.05,1,EQ,NSE,NSE,Ahluwalia Contracts (India) Ltd,Construction & Engineering,1973.11858,294.55,30.63848726,28643668319
24,3350017,13086,AIAENG,AIA ENGINEERING,0.0,,0.0,0.05,1,EQ,NSE,NSE,AIA Engineering Ltd,Industrial Machinery,17939.73437,1902.0,30.38778775,28643668319
25,2079745,8124,AJANTPHARM,AJANTA PHARMA,0.0,,0.0,0.05,1,EQ,NSE,NSE,Ajanta Pharma Ltd,Pharmaceuticals,14960.91037,1708.9,32.16255031,28643668319
26,375553,1467,AKZOINDIA,AKZO NOBEL INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,Akzo Nobel India Ltd,Specialty Chemicals,14985.5,2259.55,43.34482582,28643668319
27,20225,79,ALEMBICLTD,ALEMBIC,0.0,,0.0,0.05,1,EQ,NSE,NSE,Alembic Ltd,Pharmaceuticals,2719.319559,105.9,9.20541436,28643668319
28,20225,79,ALEMBICLTD,ALEMBIC,0.0,,0.0,0.05,1,EQ,NSE,NSE,Alembic Ltd,Pharmaceuticals,5502.757633,101.4,8.814249444,28643668319
29,2995969,11703,ALKEM,ALKEM LABORATORIES.,0.0,,0.0,0.05,1,EQ,NSE,NSE,Alkem Laboratories Ltd,Pharmaceuticals,32827.16858,2745.55,29.12611335,28643668319
30,1148673,4487,ALKYLAMINE,ALKYL AMINES CHEM.,0.0,,0.0,0.05,1,EQ,NSE,NSE,Alkyl Amines Chemicals Ltd,Specialty Chemicals,12536.07654,5891.65,59.68728104,28643668319
31,3456257,13501,ALLCARGO,ALLCARGO LOGISTICS,0.0,,0.0,0.05,1,EQ,NSE,NSE,Allcargo Logistics Ltd,Logistics,3153.502051,128.35,14.141264800000002,28643668319
32,3456257,13501,ALLCARGO,ALLCARGO LOGISTICS,0.0,,0.0,0.05,1,EQ,NSE,NSE,Allcargo Logistics Ltd,Logistics,6392.300608,123.1,13.56283363,28643668319
33,4524801,17675,ALOKINDS,ALOK INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE,Alok Industries Ltd,Textiles,14989.963090000001,20.75,2.8257311639999996,28643668319
34,25601,100,AMARAJABAT,AMARA RAJA BATTERIES.,0.0,,0.0,0.05,1,EQ,NSE,NSE,Amara Raja Batteries Ltd,Batteries,13939.154059999999,799.45,20.66526228,28643668319
35,303361,1185,AMBER,AMBER ENTERPRISES (I),0.0,,0.0,0.05,1,EQ,NSE,NSE,Amber Enterprises India Ltd,Home Electronics & Appliances,15051.342319999998,3135.4,62.24195538,28643668319
36,325121,1270,AMBUJACEM,AMBUJA CEMENTS,0.0,,0.0,0.05,1,EQ,NSE,NSE,Ambuja Cements Ltd,Cement,60423.18432000001,304.3,25.54416274,28643668319
37,4492033,17547,AMRUTANJAN,AMRUTAJAN HEALTH,0.0,,0.0,0.05,1,EQ,NSE,NSE,Amrutanjan Health Care Ltd,Pharmaceuticals,1748.5568640000001,598.55,69.76073998,28643668319
38,3486721,13620,ANANTRAJ,ANANT RAJ,0.0,,0.0,0.05,1,EQ,NSE,NSE,Anant Raj Ltd,Real Estate,1571.387984,53.25,54.16711423,28643668319
39,82945,324,ANGELBRKG,ANGEL BROKING,0.0,,0.0,0.05,1,EQ,NSE,NSE,Angel Broking Ltd,Investment Banking & Brokerage,2496.117596,305.05,26.66918721,28643668319
40,724225,2829,ANURAS,ANUPAM RASAYAN INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,Anupam Rasayan India Ltd,Specialty Chemicals,5548.19076,553.65,52.26071361,28643668319
41,2941697,11491,APARINDS,APAR INDUSTRIES.,0.0,,0.0,0.05,1,EQ,NSE,NSE,Apar Industries Ltd,Electrical Components & Equipments,1793.458829,468.65,13.27013562,28643668319
42,6599681,25780,APLAPOLLO,APL APOLLO TUBES,0.0,,0.0,0.05,1,EQ,NSE,NSE,APL Apollo Tubes Ltd,Building Products - Pipes,16283.316,1230.3,62.96956854,28643668319
43,6483969,25328,APLLTD,ALEMBIC PHARMA,0.0,,0.0,0.05,1,EQ,NSE,NSE,Alembic Pharmaceuticals Ltd,Pharmaceuticals,18878.90524,960.45,21.84552853,28643668319
44,40193,157,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,0.0,,0.0,0.05,1,EQ,NSE,NSE,Apollo Hospitals Enterprise Ltd,Hospitals & Diagnostic Centres,43176.65206,3004.75,91.91651814,28643668319
45,3676417,14361,APOLLOPIPE,APOLLO PIPES,0.0,,0.0,0.05,1,EQ,NSE,NSE,Apollo Pipes Ltd,Building Products - Pipes,1359.937838,1045.35,45.98844322,28643668319
46,41729,163,APOLLOTYRE,APOLLO TYRES,0.0,,0.0,0.05,1,EQ,NSE,NSE,Apollo Tyres Limited,Tires & Rubber,14194.506140000001,203.5,24.43580414,28643668319
47,49409,193,ARVIND,ARVIND,0.0,,0.0,0.05,1,EQ,NSE,NSE,Arvind Ltd,Apparel & Accessories,1737.380503,67.1,18.14772422,28643668319
48,2332417,9111,ARVINDFASN,ARVIND FASHIONS,0.0,,0.0,0.05,1,EQ,NSE,NSE,Arvind Fashions Ltd,Textiles,1379.62624,139.8,-2.40827722,28643668319
49,1376769,5378,ASAHIINDIA,ASAHI INDIA GLASS,0.0,,0.0,0.05,1,EQ,NSE,NSE,Asahi India Glass Ltd,Auto Parts,10138.29873,313.65,49.60002398,28643668319
50,51969,203,ASHAPURMIN,ASHAPURA MINECHEM,0.0,,0.0,0.05,1,EQ,NSE,NSE,Ashapura Minechem Ltd,Metals - Diversified,1100.3741400000001,126.5,2.838283525,28643668319
51,6247169,24403,ASHIANA,ASHIANA HOUSING,0.0,,0.0,0.05,1,EQ,NSE,NSE,Ashiana Housing Ltd,Real Estate,1440.094033,140.7,-47.62215717,28643668319
52,5166593,20182,ASHOKA,ASHOKA BUILDCON,0.0,,0.0,0.05,1,EQ,NSE,NSE,Ashoka Buildcon Ltd,Construction & Engineering,2721.611589,96.95,16.46169231,28643668319
53,5166593,20182,ASHOKA,ASHOKA BUILDCON,0.0,,0.0,0.05,1,EQ,NSE,NSE,Ashoka Buildcon Ltd,Construction & Engineering,5107.349091,87.35,14.83165367,28643668319
54,54273,212,ASHOKLEY,ASHOK LEYLAND,0.0,,0.0,0.05,1,EQ,NSE,NSE,Ashok Leyland Ltd,Trucks & Buses,32921.9384,112.15,97.78696765,28643668319
55,60417,236,ASIANPAINT,ASIAN PAINTS,0.0,,0.0,0.05,1,EQ,NSE,NSE,Asian Paints Ltd,Paints,249602.4489,2602.2,92.26867403,28643668319
56,4538369,17728,ASTEC,ASTEC LIFESCIENCES,0.0,,0.0,0.05,1,EQ,NSE,NSE,Astec Lifesciences Ltd,Fertilizers & Agro Chemicals,2172.5536629999997,1109.15,45.65558527,28643668319
57,386049,1508,ASTERDM,ASTER DM HEALTHCARE.,0.0,,0.0,0.05,1,EQ,NSE,NSE,Aster DM Healthcare Ltd,Hospitals & Diagnostic Centres,9677.045623,142.95,25.96141353,28643668319
58,3691009,14418,ASTRAL,ASTRAL POLY TECH,0.0,,0.0,0.05,1,EQ,NSE,NSE,Astral Poly Technik Ltd,Building Products - Pipes,30435.51777,1514.9,122.38987920000001,28643668319
59,2974209,11618,ASTRAMICRO,ASTRA MICROWAVE,0.0,,0.0,0.05,1,EQ,NSE,NSE,Astra Micro Wave Products Ltd,Communication & Networking,1061.4260769999999,122.55,24.10140956,28643668319
60,1436161,5610,ASTRAZEN,ASTRAZENECA PHARMA IND LT,0.0,,0.0,0.05,1,EQ,NSE,NSE,Astrazeneca Pharma India Ltd,Pharmaceuticals,8287.0,3389.95,117.36428470000001,28643668319
61,425729,1663,ATFL,AGRO TECH FOODS,0.0,,0.0,0.05,1,EQ,NSE,NSE,Agro Tech Foods Ltd,Packaged Foods & Meats,2012.9771010000002,849.9,61.22210308,28643668319
62,1552897,6066,ATGL,ADANI TOTAL GAS,0.0,,0.0,0.05,1,EQ,NSE,NSE,Adani Total Gas Ltd,Gas Distribution,108908.6935,990.25,249.6073833,28643668319
63,5436929,21238,AUBANK,AU SMALL FINANCE BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE,AU Small Finance Bank Ltd,Consumer Finance,33609.77143,1076.5,47.579329200000004,28643668319
64,70401,275,AUROPHARMA,AUROBINDO PHARMA,0.0,,0.0,0.05,1,EQ,NSE,NSE,Aurobindo Pharma Ltd,Pharmaceuticals,53625.1015,915.2,18.94156298,28643668319
65,71169,278,AUTOAXLES,AUTOMOTIVE AXLES,0.0,,0.0,0.05,1,EQ,NSE,NSE,Automotive Axles Ltd,Auto Parts,1614.487849,1068.35,39.25329076,28643668319
66,2031617,7936,AVANTIFEED,AVANTI FEEDS,0.0,,0.0,0.05,1,EQ,NSE,NSE,Avanti Feeds Ltd,Packaged Foods & Meats,6609.956739,451.95,17.77142558,28643668319
67,1510401,5900,AXISBANK,AXIS BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE,Axis Bank Ltd,Private Banks,194734.707,635.6,92.49255242,28643668319
68,4267265,16669,BAJAJ-AUTO,BAJAJ AUTO,0.0,,0.0,0.05,1,EQ,NSE,NSE,Bajaj Auto Ltd,Two Wheelers,102464.8618,3541.0,19.65975272,28643668319
69,4999937,19531,BAJAJCON,BAJAJ CONSUMER CARE,0.0,,0.0,0.05,1,EQ,NSE,NSE,Bajaj Consumer Care Ltd,FMCG - Personal Products,4182.763508,283.5,22.63273977,28643668319
70,4999937,19531,BAJAJCON,BAJAJ CONSUMER CARE,0.0,,0.0,0.05,1,EQ,NSE,NSE,Bajaj Consumer Care Ltd,FMCG - Personal Products,8359.154198,269.95,21.55099859,28643668319
71,3848705,15034,BAJAJELEC,BAJAJ ELECT.LTD,0.0,,0.0,0.05,1,EQ,NSE,NSE,Bajaj Electricals Ltd,Home Electronics & Appliances,12174.66992,1049.25,-1236.539333,28643668319
72,4268801,16675,BAJAJFINSV,BAJAJ FINSERV.,0.0,,0.0,0.05,1,EQ,NSE,NSE,Bajaj Finserv Ltd,Insurance,145559.9182,9163.15,43.28084863,28643668319
73,78081,305,BAJAJHLDNG,BAJAJ HOLDINGS & INVS,0.0,,0.0,0.05,1,EQ,NSE,NSE,Bajaj Holdings and Investment Ltd,Asset Management,36503.714810000005,3279.95,12.20043944,28643668319
74,81153,317,BAJFINANCE,BAJAJ FINANCE,0.0,,0.0,0.05,1,EQ,NSE,NSE,Bajaj Finance Ltd,Consumer Finance,271366.2534,4511.0,50.42640926,28643668319
75,3712257,14501,BALAMINES,BALAJI AMINES,0.0,,0.0,0.05,1,EQ,NSE,NSE,Balaji Amines Ltd,Specialty Chemicals,6473.881805,1854.0,57.31462074,28643668319
76,85761,335,BALKRISIND,BALKRISHNA IND.,0.0,,0.0,0.05,1,EQ,NSE,NSE,Balkrishna Industries Ltd,Tires & Rubber,31050.607060000002,1606.2,32.35617888,28643668319
77,86529,338,BALMLAWRIE,BALMER LAWRIE & CO,0.0,,0.0,0.05,1,EQ,NSE,NSE,Balmer Lawrie and Company Ltd,Conglomerates,2220.48494,129.85,13.77111966,28643668319
78,87297,341,BALRAMCHIN,BALRAMPUR CHINI MILLS,0.0,,0.0,0.05,1,EQ,NSE,NSE,Balrampur Chini Mills Ltd,Sugar,4920.3,234.3,10.30533494,28643668319
79,89601,350,BANARISUG,BANNARI AMMAN SUGARS,0.0,,0.0,0.05,1,EQ,NSE,NSE,Bannari Amman Sugars Ltd,Sugar,2145.98156,1711.35,22.44046387,28643668319
80,89601,350,BANARISUG,BANNARI AMMAN SUGARS,0.0,,0.0,0.05,1,EQ,NSE,NSE,Bannari Amman Sugars Ltd,Sugar,5076.395181,1609.85,21.10952216,28643668319
81,3553281,13880,BANCOINDIA,BANCO PRODUCTS (I),0.0,,0.0,0.05,1,EQ,NSE,NSE,Banco Products (India) Ltd,Auto Parts,1045.960256,146.25,13.66018357,28643668319
82,579329,2263,BANDHANBNK,BANDHAN BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE,Bandhan Bank Ltd,Private Banks,52755.44005,327.55,15.18374607,28643668319
83,1195009,4668,BANKBARODA,BANK OF BARODA,0.0,,0.0,0.05,1,EQ,NSE,NSE,Bank of Baroda Ltd,Public Banks,34182.704,66.1,25.98194078,28643668319
84,2928385,11439,BANKBEES,NIP IND ETF BANK BEES,0.0,,0.0,0.01,1,EQ,NSE,NSE,Nippon India Nifty Bank Bees ETF,Equity,8039.655177,309.68,,28643668319
85,800513,3127,BARBEQUE,BARBEQUE NATION HOSP.,0.0,,0.0,0.05,1,EQ,NSE,NSE,Barbeque-Nation Hospitality Ltd,Restaurants & Cafes,2712.8513989999997,722.6,-62.43920118,28643668319
86,800513,3127,BARBEQUE,BARBEQUE NATION HOSP.,0.0,,0.0,0.05,1,EQ,NSE,NSE,Barbeque-Nation Hospitality Ltd,Restaurants & Cafes,5456.777927,688.35,-59.47969019,28643668319
87,94209,368,BASF,BASF INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,BASF India Ltd,Diversified Chemicals,11702.38528,1940.4,453.75544299999996,28643668319
88,94977,371,BATAINDIA,BATA INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,Bata India Ltd,Footwear,17880.75136,1305.9,51.02575378,28643668319
89,97281,380,BBTC,BOMBAY BURMAH TRADING COR,0.0,,0.0,0.05,1,EQ,NSE,NSE,Bombay Burmah Trading Corporation Ltd,Tea & Coffee,11408.95781,1185.45,13.83303721,28643668319
90,548865,2144,BDL,BHARAT DYNAMICS,0.0,,0.0,0.05,1,EQ,NSE,NSE,Bharat Dynamics Ltd,Aerospace & Defense Equipments,6307.624218999999,333.85,11.43923076,28643668319
91,416769,1628,BECTORFOOD,MRS BECTORS FOOD SPE,0.0,,0.0,0.05,1,EQ,NSE,NSE,Mrs. Bectors Food Specialities Ltd,FMCG - Foods,2113.6995739999998,359.8,67.80190305,28643668319
92,98049,383,BEL,BHARAT ELECTRONICS,0.0,,0.0,0.05,1,EQ,NSE,NSE,Bharat Electronics Ltd,Electronic Equipments,29702.06798,121.9,16.28536775,28643668319
93,101121,395,BEML,BEML,0.0,,0.0,0.05,1,EQ,NSE,NSE,BEML Ltd,Rail,5276.566372,1169.65,76.34604558,28643668319
94,107265,419,BEPL,BHANSALI ENG. POLYMERS LT,0.0,,0.0,0.05,1,EQ,NSE,NSE,Bhansali Engg Polymers Ltd,Commodity Chemicals,2717.5343829999997,163.8,40.55416181,28643668319
95,107265,419,BEPL,BHANSALI ENG. POLYMERS LT,0.0,,0.0,0.05,1,EQ,NSE,NSE,Bhansali Engg Polymers Ltd,Commodity Chemicals,5220.722264999999,149.7,37.063235799999994,28643668319
96,103425,404,BERGEPAINT,BERGER PAINTS (I),0.0,,0.0,0.05,1,EQ,NSE,NSE,Berger Paints India Ltd,Paints,70729.70459,728.2,107.509307,28643668319
97,590337,2306,BESTAGRO,BEST AGROLIFE,0.0,,0.0,0.05,1,EQ,NSE,NSE,Best Agrolife Ltd,Diversified Chemicals,1102.7049029999998,416.1,110.71911429999999,28643668319
98,5404929,21113,BFINVEST,BF INVESTMENT,0.0,,0.0,0.05,1,EQ,NSE,NSE,BF Investment Ltd,Asset Management,1117.975199,296.8,7.746502211,28643668319
99,108033,422,BHARATFORG,BHARAT FORGE,0.0,,0.0,0.05,1,EQ,NSE,NSE,Bharat Forge Ltd,Iron & Steel,27050.69952,581.0,77.35397628,28643668319
100,981505,3834,BHARATRAS,BHARAT RASAYAN,0.0,,0.0,0.05,1,EQ,NSE,NSE,Bharat Rasayan Ltd,Fertilizers & Agro Chemicals,4224.883325,9943.85,26.80083307,28643668319
101,2714625,10604,BHARTIARTL,BHARTI AIRTEL,0.0,,0.0,0.05,1,EQ,NSE,NSE,Bharti Airtel Ltd,Telecom Services,286755.1125,522.45,-7.96131055,28643668319
102,112129,438,BHEL,BHEL,0.0,,0.0,0.05,1,EQ,NSE,NSE,Bharat Heavy Electricals Ltd,Heavy Electrical Equipments,17932.62628,45.05,-10.70026495,28643668319
103,2911489,11373,BIOCON,BIOCON,0.0,,0.0,0.05,1,EQ,NSE,NSE,Biocon Ltd,Biotechnology,48041.556339999996,404.3,64.84362469999999,28643668319
104,122881,480,BIRLACORPN,BIRLA CORPORATION,0.0,,0.0,0.05,1,EQ,NSE,NSE,Birla Corporation Ltd,Cement,9629.872,922.1,14.05570895,28643668319
105,4931841,19265,BLISSGVS,BLISS GVS PHARMA,0.0,,0.0,0.05,1,EQ,NSE,NSE,Bliss GVS Pharma Ltd,Pharmaceuticals,1045.391521,101.35,10.74842197,28643668319
106,126721,495,BLUEDART,BLUE DART EXPRESS,0.0,,0.0,0.05,1,EQ,NSE,NSE,Blue Dart Express Ltd,Logistics,12557.41587,5234.1,-297.0649841,28643668319
107,2127617,8311,BLUESTARCO,BLUE STAR,0.0,,0.0,0.05,1,EQ,NSE,NSE,Blue Star Ltd,Home Electronics & Appliances,11466.0942,867.9,58.35310534,28643668319
108,6404353,25017,BODALCHEM,BODAL CHEMICALS,0.0,,0.0,0.05,1,EQ,NSE,NSE,Bodal Chemicals Ltd,Commodity Chemicals,1219.631745,99.7,13.90188277,28643668319
109,131329,513,BOMDYEING,BOMBAY DYEING & MFG. CO L,0.0,,0.0,0.05,1,EQ,NSE,NSE,Bombay Dyeing and Mfg Co Ltd,Textiles,1515.966166,73.4,4.624244779,28643668319
110,4966657,19401,BOROLTD,BOROSIL,0.0,,0.0,0.05,1,EQ,NSE,NSE,Borosil Ltd,Housewares,2144.875382,187.95,29.9741191,28643668319
111,806145,3149,BORORENEW,BOROSIL RENEWABLES,0.0,,0.0,0.05,1,EQ,NSE,NSE,Borosil Renewables Ltd,Health Care Equipment & Supplies,3172.5526489999997,243.95,12762.67978,28643668319
112,806145,3149,BORORENEW,BOROSIL RENEWABLES,0.0,,0.0,0.05,1,EQ,NSE,NSE,Borosil Renewables Ltd,Health Care Equipment & Supplies,6050.92701,223.65,11700.64904,28643668319
113,558337,2181,BOSCHLTD,BOSCH,0.0,,0.0,0.05,1,EQ,NSE,NSE,Bosch Ltd,Auto Parts,40353.05078,13681.95,62.12940844,28643668319
114,134657,526,BPCL,BHARAT PETROLEUM CORP  LT,0.0,,0.0,0.05,1,EQ,NSE,NSE,Bharat Petroleum Corporation Ltd,Oil & Gas - Refining & Marketing,85874.66888,403.95,26.00417974,28643668319
115,3887105,15184,BRIGADE,BRIGADE ENTER.,0.0,,0.0,0.05,1,EQ,NSE,NSE,Brigade Enterprises Ltd,Real Estate,5613.4664219999995,255.8,40.02880628,28643668319
116,140033,547,BRITANNIA,BRITANNIA INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE,Britannia Industries Ltd,FMCG - Foods,91837.05956000001,3812.75,65.34578153,28643668319
117,5013761,19585,BSE,BSE,0.0,,0.0,0.05,1,EQ,NSE,NSE,BSE Ltd,Stock Exchanges & Ratings,2744.9062670000003,609.65,24.13602181,28643668319
118,5013761,19585,BSE,BSE,0.0,,0.0,0.05,1,EQ,NSE,NSE,BSE Ltd,Stock Exchanges & Ratings,5499.770695,575.3,22.77610653,28643668319
119,1790465,6994,BSOFT,BIRLASOFT,0.0,,0.0,0.05,1,EQ,NSE,NSE,Birlasoft Ltd,IT Services & Consulting,9493.761263,256.85,31.53252398,28643668319
120,382465,1494,BURGERKING,BURGER KING INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,Burger King India Ltd,Restaurants & Cafes,5317.672357,132.55,-46.98303527,28643668319
121,695297,2716,BUTTERFLY,BTRFLY GANDHI APPL,0.0,,0.0,0.05,1,EQ,NSE,NSE,Butterfly Gandhimathi Appliances Ltd,Home Electronics & Appliances,1135.083295,634.85,284.4820289,28643668319
122,2029825,7929,CADILAHC,CADILA HEALTHCARE,0.0,,0.0,0.05,1,EQ,NSE,NSE,Cadila Healthcare Ltd,Pharmaceuticals,51156.41772,499.7,43.47817246,28643668319
123,1591297,6216,CAMLINFINE,CAMLIN FINE SCIENCES,0.0,,0.0,0.05,1,EQ,NSE,NSE,Camlin Fine Sciences Ltd,Specialty Chemicals,1866.577615,146.4,58.528140500000006,28643668319
124,87553,342,CAMS,COMPUTER AGE MNGT SER,0.0,,0.0,0.05,1,EQ,NSE,NSE,Computer Age Management Services Ltd,Diversified Financials,12061.92717,1797.5,50.56756602,28643668319
125,149249,583,CANFINHOME,CAN FIN HOMES,0.0,,0.0,0.05,1,EQ,NSE,NSE,Can Fin Homes Ltd,Home Financing,7356.765406,512.15,18.13163306,28643668319
126,5567745,21749,CAPACITE,CAPACITE INFRAPROJECT,0.0,,0.0,0.05,1,EQ,NSE,NSE,Capacite Infraprojects Ltd,Construction & Engineering,1362.9218019999998,200.75,14.97058219,28643668319
127,999937,3906,CAPLIPOINT,CAPLIN POINT LAB.,0.0,,0.0,0.05,1,EQ,NSE,NSE,Caplin Point Laboratories Ltd,Pharmaceuticals,3581.6842130000005,473.5,16.65624343,28643668319
128,999937,3906,CAPLIPOINT,CAPLIN POINT LAB.,0.0,,0.0,0.05,1,EQ,NSE,NSE,Caplin Point Laboratories Ltd,Pharmaceuticals,7099.3736579999995,450.55,15.84893448,28643668319
129,152321,595,CARBORUNIV,CARBORUNDUM UNIVERSAL,0.0,,0.0,0.05,1,EQ,NSE,NSE,Carborundum Universal Ltd,Industrial Machinery,12924.30425,500.75,34.79444776,28643668319
130,7452929,29113,CARERATING,CARE RATINGS,0.0,,0.0,0.05,1,EQ,NSE,NSE,CARE Ratings Ltd,Stock Exchanges & Ratings,1416.642475,480.85,17.19852465,28643668319
131,320001,1250,CASTROLIND,CASTROL INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,Castrol India Ltd,Commodity Chemicals,12364.0298,122.7,20.83191851,28643668319
132,2931713,11452,CCL,CCL PRODUCTS (I),0.0,,0.0,0.05,1,EQ,NSE,NSE,CCL Products India Ltd,Tea & Coffee,3245.2161079999996,243.95,19.55656327,28643668319
133,2931713,11452,CCL,CCL PRODUCTS (I),0.0,,0.0,0.05,1,EQ,NSE,NSE,CCL Products India Ltd,Tea & Coffee,6603.321276,232.7,18.65469265,28643668319
134,5420545,21174,CDSL,CENTRAL DEPO SER (I),0.0,,0.0,0.05,1,EQ,NSE,NSE,Central Depository Services (India) Ltd,Stock Exchanges & Ratings,9686.945106000001,706.15,69.51080916,28643668319
135,3905025,15254,CEATLTD,CEAT,0.0,,0.0,0.05,1,EQ,NSE,NSE,CEAT Ltd,Tires & Rubber,6269.359759,1445.75,25.28896022,28643668319
136,3812865,14894,CENTRALBK,CENTRAL BANK OF INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,Central Bank of India Ltd,Public Banks,13956.114780000002,16.9,-6.565663272999999,28643668319
137,628225,2454,CENTRUM,CENTRUM CAPITAL,0.0,,0.0,0.05,1,EQ,NSE,NSE,Centrum Capital Ltd,Diversified Financials,1076.797524,27.15,78.22227112,28643668319
